date,time,address,offense,description
7/28/17,1:11 AM,3935 Walnut St,Assault,
06/22/17,11:47 AM,3800 Baltimore Ave,Assault,
7/28/17,11:44 AM,3000 Chestnut St,Assault,
07/07/17,8:34 PM,4831 Baltimore Avenue,Aggravated Assault/Arrest,
7/28/17,2:09 PM,600 University Ave,Assault/ Arrest,
7/10/17,4:55 PM,4201 Baltimore Ave,Assault,
7/29/17,4:35 PM,Unit blk of 40th St,Assault,
8/5/17,11:50 AM,4600 Baltimore Ave,Assault,
7/30/17,6:02 AM,4255 Sansom St,Domestic Assault,
4/16/2017,3:19 AM,4100 Pine St,Assault,Officer assaulted by suspect/Arrest
8/1/17,11:56 AM,1100 S. 48th St,Other Assault,
4/16/2017,3:20 AM,4100 Pine St,Assault,Officer assaulted by offender/Arrest
8/1/17,7:46 PM,3925 Walnut St,Domestic Assault,
06/04/17,3:06 PM,48th & Pine Sts,Domestic assault/arrest,
8/5/17,12:30 AM,16 S 46th St,Aggravated assault,
09/22/17,6:28 PM,46th & Pine Sts,Indecent assault,
8/5/17,11:50 AM,4600 Baltimore Ave,Assault,
05/13/16,8:22 PM,600 University Ave,Assault,Windshield broken by spike/Arrest
8/5/17,12:32 PM,260 S. 44th St,Domestic Assault,
05/13/16,8:22 PM,600 University Ave,Assault,Spike thrown at windshield/Arrest
08/14/17,12:29 PM,3950 Market St,Assault,
05/13/16,8:22 PM,600 University Ave,Assault,Spike thrown at windshield/Arrest
08/14/17,7:06 PM,4000 Spruce St,Domestic assault/ Arrest,
05/13/16,9:29 PM,600 University Ave,Assault,Spike thrown at roof of auto/Arrest
08/15/17,8:40 PM,3400 Spruce St,Domestic assault/ Arrest,
8/12/17,12:00 PM,600 University Ave,Assault,
08/20/17,12:38 AM,S. 47th & Locust St,Assault,
7/28/17,2:09 PM,600 University Ave,Assault/ Arrest,
08/20/17,4:04 AM,S. 38th & Ludlow St,Assault,
07/29/16,6:58 PM,4000 Ludlow St,Assault,Complainant assaulted by known offenders/Arrest
08/22/17,4:08 PM,4000 Walnut St,Assault,Offender arrested for attempted assault
08/23/16,11:08 PM,3900 Ludlow St,Assault,Complainant shot by unknown male
08/22/17,4:08 PM,4000 Walnut St,Assault,Offender arrested for attempted assault
05/18/17,12:59 PM,4300 Ludlow St,Aggravated Assault,
08/25/17,12:26 PM,3400 Spruce St,Other assault,Harassing calls received
06/22/17,10:25 AM,3913 Ludlow Street,Assault,
08/29/17,12:54 PM,4831 Walton Ave,Assault,
08/20/17,4:04 AM,S. 38th & Ludlow St,Assault,
09/01/17,12:47 PM,3400 Civic Center Blvd.,Assault,
09/23/17,7:27 PM,4034 Ludlow St,Aggravated assault/ Arrest,
09/02/17,3:42 AM,3700 Spruce St,Indecent Assault,
05/10/16,11:36 AM,3400 Civic Center Blvd,Other Assault,Threatening message received from ex-boyfriend
09/02/17,8:29 PM,3400 Spruce St,Assault,
03/07/2017,2:38 AM,3400 Civic Center Blvd,Other Assault,Unwanted text messages received
09/03/17,11:33 PM,4040 Chestnut St,Aggravated Assault/ Arrest,
05/11/17,9:21 AM,3600 Civic Center Blvd.,Indecent Assault,
09/04/17,6:29 PM,241 S 46th St,Domestic assault/ Arrest,
09/01/17,12:47 PM,3400 Civic Center Blvd.,Assault,
09/04/17,10:42 PM,4425 Larchwood Ave,Assault,
09/04/17,10:42 PM,4425 Larchwood Ave,Assault,
09/07/17,3:34 PM,4526 Walnut St,Assault,
09/23/17,8:03 PM,139 S Markoe St,Aggravated assault,
09/11/17,10:20 PM,4636 Walnut St,Domestic Assault/ Arrest,
09/20/17,7:36 PM,4300 Kingsessing,Assault,
09/13/17,6:13 PM,4601 Walnut St,Assault,
08/29/17,12:54 PM,4831 Walton Ave,Assault,
09/16/17,2:28 AM,4312 Spruce St,Indecent Assault,
11/11/16,7:33 PM,3609 Locust Walk,Other Assault,Threatening messages received
09/18/17,12:00 PM,48th & Market Sts,Domestic assault,
11/18/16,12:00 PM,3800 Locust Walk,Other Assault,Threats made to complainant
09/18/17,3:18 PM,241 S 46th St,Aggravated assault,
11/25/16,1:03 PM,4038 Locust St,Assault,Male punched several times by known person
09/20/17,7:36 PM,4300 Kingsessing,Assault,
08/20/17,12:38 AM,S. 47th & Locust St,Assault,
09/21/17,7:18 PM,30th & Market Sts,Domestic assault,
05/20/16,11:39 AM,3929 Sansom St,Assault,Complainant struck in face
09/22/17,6:28 PM,46th & Pine Sts,Indecent assault,
06/17/16,2:48 AM,3800 Sansom St,Assault,Complainant assaulted by known male/Arrest
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,
12/23/16,10:43 AM,3600 Sansom St,Assault,Complainant assaulted by known person
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,
2/22/2017,10:42 PM,4000 Sansom St,Assault,Operator attempted to strike complainant/Arrest
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,
05/30/17,7:52 AM,40th & Sansom,Aggravated assault/unfounded per investigation,
09/23/17,7:27 PM,4034 Ludlow St,Aggravated assault/ Arrest,
05/31/17,3:21 AM,4542 Sansom St,Assault,
09/23/17,8:03 PM,139 S Markoe St,Aggravated assault,
7/30/17,6:02 AM,4255 Sansom St,Domestic Assault,
05/15/17,12:47 AM,4200 Regent Sq,Aggravated Assault,
01/10/2017,11:00 AM,3900 Delancey St,Assault,Complainant struck by male/Arrest
08/18/16,6:29 PM,3260 South St,Other Assault,Complainant threatened by ex-boyfriend
11/09/16,5:48 PM,3200 South St,Other Assault,Complainant threatened by unknown male
09/01/2016,3:55 PM,Guardian Drive,Assault,Complainant assaulted by unknown male
