date,time,address,offense,description
03/09/2017,7:02 PM,3948 Market St,Other Offense,Offender arrested on probation warrant
12/23/16,9:08 PM,4000 Market St,Other Offense,Male wanted on warrant/Arrest
03/24/2017,6:28 PM,3400 Spruce St,Other Offense,Male wanted on probation violation/Arrest
03/09/2017,7:02 PM,3948 Market St,Other Offense,Offender arrested on probation warrant
03/25/2017,2:07 PM,3417 Spruce St,Other Offense,Male cited for trespass
4/30/17,11:20 PM,3800 Market St,Other offense,Male wanted on warrant/Arrest
4/18/17,11:57 PM,3800 Walnut St,Other offense,Male wanted on warrant/Arrest
02/19/17,4:28 AM,4000 Pine St,Other Offense,Male wanted on warrant/Arrest
4/21/17,4:52 PM,3620 Locust Walt,Other offense,Male in building with authorization/Arrest
2/24/2017,7:52 AM,4000 Pine St,Other Offense,Male wanted on warrant/Arrest
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Citations issued for public urination
05/27/16,2:38 AM,3900 Sansom St,Other Offense,Male cited for public urination
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for public urination
12/13/16,11:55 PM,3900 Sansom St,Other Offense,Male wanted on warrant/Arrest
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for open beer container
12/18/16,12:34 PM,3400 Sansom St,Other Offense,Male cited for possession of stun gun
4/27/17,3:23 PM,4000 Walnut St,Other offense,Female wanted on warrant/Arrest
08/18/16,5:49 PM,3900 Irving St,Other Offense,Unauthorized person in building/Arrest
4/30/17,11:20 PM,3800 Market St,Other offense,Male wanted on warrant/Arrest
07/26/16,12:21 PM,421 Curie Blvd,Other Offense,Unwanted calls received
08/25/17,2:22 PM,3744 Spruce St,Other offense,Male warned not to return/Citation
05/18/16,6:14 PM,4100 Ludlow St,Other Offense,Male wanted on warrant/Arrest
08/27/17,12:26 PM,200 S 38th St,Other offense,Male wanted on warrant/Arrest
10/05/16,2:22 PM,3450 Woodland Walk,Other Offense,Complainant verbally harassed
