Name,Year,Gender Guesser,Genderizer,Confirmed
Ronald M. Dworkin,2009,male,male,male
Anthony S. Fauci,2009,male,male,male
Sarah Hrdy,2009,female,female,female
Robert S. Langer,2009,male,male,male
Wynton Marsalis,2009,unknown,unknown,male
Sidney Verba,2009,mostly_male,unknown,male
Thomas R. Cech,2010,male,male,male
Renée Fox,2010,unknown,female,female
Freeman A. Hrabowski III,2010,male,male,male
Susan Lindquist,2010,female,female,female
Thomas Nagel,2010,male,male,male
David G. Nathan,2010,male,male,male
Onora O’Neill,2010,unknown,female,female
Richard Serra,2010,male,male,male
David H. Souter,2010,male,male,male
Meryl Streep,2010,mostly_female,unknown,female
Tim Berners-Lee,2011,male,male,male
Plácido Domingo,2011,unknown,male,male
Ruth Bader Ginsburg,2011,female,female,female
Dudley Herschbach,2011,male,male,male
James R. Houghton,2011,male,male,male
Ellen Johnson Sirleaf,2011,female,unknown,female
Rosalind Krauss,2011,female,female,female
John G.A. Pocock,2011,male,male,male
David Satcher,2011,male,male,male
John Adams,2012,male,male,male
K. Anthony Appiah,2012,unknown,unknown,male
Gillian Beer,2012,female,female,female
Walter Kohn,2012,male,male,male
Wendy Kopp,2012,female,female,female
John Lewis,2012,male,male,male
Mario Molina,2012,male,male,male
Fareed Zakaria,2012,unknown,male,male
José Abreu,2013,unknown,unknown,male
Partha Dasgupta,2013,unknown,unknown,male
Donald R. Hopkins,2013,male,male,male
Robert M. May,2013,male,male,male
Thomas M. Menino,2013,male,male,male
Elaine Pagels,2013,female,female,female
C. Dixon Spangler Jr.,2013,unknown,unknown,male
JoAnne Stubbe,2013,unknown,female,female
Oprah Winfrey,2013,unknown,female,female
Isabel Allende,2014,female,female,female
Michael Bloomberg,2014,male,male,male
President George H.W. Bush,2014,unknown,unknown,male
Aretha Franklin,2014,female,female,female
Patricia King,2014,female,female,female
Peter H. Raven,2014,male,male,male
Seymour Slive,2014,male,male,male
Joseph E. Stiglitz,2014,male,male,male
Svetlana Leontief Alpers,2015,female,female,female
Robert M. Axelrod,2015,male,male,male
Wallace S. Broecker,2015,male,male,male
Linda B. Buck,2015,female,female,female
Renée Fleming,2015,unknown,female,female
Patricia Albjerg Graham,2015,female,female,female
Denis Mukwege,2015,male,male,male
Deval L. Patrick,2015,unknown,unknown,male
Peter Salovey,2015,male,male,male
Bryan Stevenson,2015,male,male,male
El Anatsui,2016,mostly_female,unknown,male
Mary L. Bonauto,2016,mostly_female,unknown,female
His Excellency Fernando Henrique Cardoso,2016,male,male,male
David B. Davis,2016,male,male,male
Elaine Fuchs,2016,female,female,female
Arnold Rampersad,2016,male,male,male
The Right Honourable Lord Martin Rees,2016,mostly_female,unknown,male
Steven Spielberg,2016,male,male,male
Judith Jarvis Thomson,2016,female,female,female
Norman R. Augustine,2017,male,male,male
Hawa Abdi Dhiblawe,2017,female,female,female
Dame Judi Dench,2017,unknown,unknown,female
Sandra M. Gilbert,2017,female,female,female
James Earl Jones,2017,male,male,male
Walter E. Massey,2017,male,male,male
Michael Rabin,2017,male,male,male
John Williams,2017,male,male,male
Huda Y. Zoghbi,2017,female,female,female
Mark Zuckerberg,2017,male,male,male
