Albert Jeremiah Beveridge,1920
Thomas Edward Finegan,1920
Edward J. Fox,1920
William Henry Fox,1920
Herbert Adams Gibbons,1920
Robert Johnston,1920
John Muirhead Macfarlane,1920
Leslie William Miller,1920
Alfred Edward Newton,1920
George Boal Orlady,1920
Theodore William Richards,1920
William Sowden Sims,1920
Edgar Fahs Smith,1920
Francis Marion Taitt,1920
Henry Davis Todd Jr.,1920
Louis Cape Washburn,1920
Theophilous Parsons Chandler,1921
Marie Curie,1921
George Walter Dawson,1921
Herbert Edward Everett,1921
Ferdinand Foch,1921
Hobart Amory Hare,1921
Ernest Martin Hopkins,1921
William Rutherford Mead,1921
James Hartley Merrick,1921
William Romaine Newbold,1921
Paul Shorey,1921
Charles Howard Walker,1921
Arthur William Currie,1922
William Duane,1922
Josiah Harmar Penniman,1922
John Joseph Pershing,1922
George Arthur Piersol,1922
Edward Townsend Stotesbury,1922
Robert Von Moschzisker,1922
John Drew,1923
Richard Mott Gummere,1923
Chevalier Jackson,1923
Kenneth Gordon Matheson,1923
Andrew Jackson Montague,1923
Joseph John Thomson,1923
Sir Henry Worth Thornton,1923
Frank Aydelotte,1924
William Henry Bragg,1924
John Joseph Carty,1924
Cyrus Hermann Kotzschmar Curtis,1924
William Charles Lawson Eglin,1924
Charles Fabry,1924
Robert Heywood Fernald,1924
Clarence Stanley Fisher,1924
Walter E. Hering,1924
Charles Merrill Hough,1924
John Henry Maccracken,1924
Richard Beatty Mellon,1924
John Bassett Moore,1924
Charles Algernon Parsons,1924
Harold Pender,1924
James Taggart Priestley,1924
Edwin Wilbur Rice Jr.,1924
Frank Julian Sprague,1924
Edward Rhodes Stitt,1924
Ambrose Swasey,1924
Elihu Thomson,1924
Edward Weston,1924
Anne Hollingsworth Wharton,1924
Stanley Rhoads Yarnall,1924
Pieter Zeeman,1924
Herman Vandenburg Ames,1925
John Ashhurst,1925
Bertrand Dawson,1925
Boyd Edwards,1925
Livingston Farrand,1925
Charles Harrison Frazier,1925
Thomas James Garland,1925
Greville Haslam,1925
John Frederick Lewis,1925
Rudolph Matas,1925
Harry Alexander Matthews,1925
Charles Horace Mayo,1925
John Robbins Mohler,1925
Alfred Newton Richards,1925
Robert William Rogers,1925
John Carew Rolfe,1925
Ray Lyman Wilbur,1925
Hubert Work,1925
Florestan Aguilar,1926
Robert Anderson,1926
George Archibald Brakeley,1926
Alonzo Brown,1926
Olin Howard Burritt,1926
Ernst Cohen,1926
Prince Ginori Conti,1926
Walter Johannes Damrosch,1926
Wilson Eyre,1926
William Henry Gilmour,1926
George Byron Gordon,1926
William Guy,1926
James Colquhoun Irvine,1926
Edward Jackson,1926
Ernst Jessen,1926
Frank Billings Kellogg,1926
Leon Legrain,1926
William Draper Lewis,1926
Louis Childs Madeira Jr.,1926
Dwight Whitney Morrow,1926
Harris Peyton Mosher,1926
Robert Norwood,1926
Walter Robert Parker,1926
Hermann Prinz,1926
Paul Sabatier,1926
Henry Sturgis Dennison,1927
Howard Elliott,1927
Miles Farrow,1927
John Huston Finley,1927
John Ripley Freeman,1927
John Hays Hammond,1927
Josiah Calvin Mccracken,1927
Milton Bennett Medary Jr.,1927
Samuel Edmond Osbourn,1927
Charles Adams Platt,1927
Charles Williamson Richardson,1927
Abraham Simon Wolf Rosenbach,1927
George David Rosengarten,1927
Charles Michael Schwab,1927
Arthur Webster Thompson,1927
Edwin Mood Wilson,1927
James Meschter Anders,1928
Samuel Taylor Bodine,1928
John Stutchell Fisher,1928
Milton Jay Greenman,1928
Eldridge Reeves Johnson,1928
John James Rickard Macleod,1928
Robert Tait Mckenzie,1928
Andrew William Mellon,1928
Effingham Buckley Morris,1928
Frank Brett Noyes,1928
Sir Humphry Davy Bart. Rolleston,1928
Ernest Henry Schelling,1928
Charles Wesley Shreiner,1928
John Edward Zimmerman,1928
Francis Herman Bohlen,1929
Simon Flexner,1929
Herbert Funk Goodrich,1929
Herbert Eugene Ives,1929
Nicholas Longworth,1929
John Vaughan 3rd Merrick,1929
William Ephraim Mikell,1929
William Augustus Redding,1929
Owen Josephus Roberts,1929
Cyrus Adler,1930
Edward E. Allen,1930
Clarence Griffin Child,1930
James Francis Cooke,1930
Hugh Smith Cumming,1930
Walter Morley Fletcher,1930
John Marshall Gest,1930
Cheesman Abiah Herrick,1930
Archibald Vivian Hill,1930
James Ramsay Hunt,1930
William Gerry Morgan,1930
Julio Prestes,1930
Theobald Smith,1930
Alfred Stengel,1930
Alonzo Englebert Taylor,1930
Henry Gordon Thunder,1930
Alexander Von Lichtenberg,1930
William Henry Welch,1930
Cyrus E. Woods,1930
Edgar Douglas Adrian,1931
Charles Ezra Beury,1931
Gilbert Haven Fall,1931
Thomas Sovereign Gates,1931
Solomon Stephen Huebner,1931
Joanna Wharton Lippincott,1931
Horatio Gates Lloyd,1931
George William Mcclelland,1931
Howard Mcclenahan,1931
James DeWolf Perry Jr.,1931
Arthur H. Quinn,1931
George Franklin Rand,1931
Leo Stanton Rowe,1931
Olga Samaroff,1931
Henry Lewis Stimson,1931
Cornelius Weygandt,1931
Daniel Willard,1931
Robert Sessions Woodworth,1931
Henry Newbold Woolman,1931
Mary Louise Curtis Bok,1932
Benjamin Nathan Cardozo,1932
William Purves Gest,1932
Barton Cooke Hirst,1932
Warren Powers Laird,1932
Roland Sletor Morris,1932
William Pepper,1932
Alfred Newton Richards,1932
Harlow Shapley,1932
Thomas Shaw,1932
Alexander Van Rensselaer,1932
Joseph Sweetman Ames,1933
Arthur Henry Reginald Buller,1933
Charles W. Burr,1933
Samuel Paul Capen,1933
Luther Pfahler Eisenhart,1933
Robert Almer Harper,1933
Milo Hellman,1933
Joseph Hofmann,1933
Horace Howard Furness Jayne,1933
Herbert Spencer Jennings,1933
Abbott Lawrence Lowell,1933
Albert Hawley Lucas,1933
John Valentine Mershon,1933
Leroy Matthew Simpson Miner,1933
Marion Edwards Park,1933
Alfred Rigling,1933
Horace Stern,1933
Charles Root Turner,1933
Frederic James Eugene Woodbridge,1933
John Gabbert Bowman,1934
Edwin Cornelius Broome,1934
Charles Meigs Biddle Cadwalader,1934
Dorothy Harrison Eustis,1934
Ralph Dorn Hetzel,1934
James Noble Rule,1934
William Gibson Spiller,1934
Harlan Fiske Stone,1934
Thomas Whitney Surette,1934
Isaiah Bowman,1935
Robert Sellers Frazer,1935
Jessie Gray,1935
Learned Hand,1935
Louis Amos Klein,1935
William Mather Lewis,1935
Joshua Bertram Lippincott,1935
Clarence James Marshall,1935
Alfred Edward Newton,1935
Charles Russ Richards,1935
Leunis Van Es,1935
George Woodward Wickersham,1935
Gustavus Wynne Cook,1936
Harold Willis Dodds,1936
Joseph Erlanger,1936
Robert Frost,1936
Herbert Spencer Gasser,1936
Richard Knowles,1936
John Campbell Merriam,1936
James Grafton Rogers,1936
Otis Skinner,1936
Walter Brooke Stabler,1936
Kaj Birket-Smith,1937
Vere Gordon Childe,1937
Martin Withington Clement,1937
Fred Pierce Corson,1937
Edmund Ezra Day,1937
Samuel Smith Drury,1937
Samuel Simeon Fels,1937
Dorothy Annie Elizabeth Garrod,1937
Cordell Hull,1937
John William Kephart,1937
Eugene Ormandy,1937
Florence Rena Sabin,1937
Herbert James Tily,1937
Joseph Wayne Jr.,1937
Lightner Witmer,1937
James Rowland Angell,1938
George David Birkhoff,1938
Wollmar Filip Bostrom,1938
Katherine Cornell,1938
Arthur Louis Day,1938
Johannes Sigfrid Edstrom,1938
H.R.H. Crown Prince of Sweden Gustav Adolf,1938
Augustus Noble Hand,1938
Gilbert Newton Lewis,1938
Herbert Meredith Marler,1938
Louis Martin,1938
Thomas Hunt Morgan,1938
John Duncan Spaeth,1938
James Isaac Wendell,1938
Charlotte Carr,1939
Ernest Charles Earp,1939
John Louis Haney,1939
Joel Henry Hildebrand,1939
Samuel Frederic Houston,1939
Edward Johnson,1939
William Huestis Keller,1939
Edward Warloch Mumford,1939
Francis Randolph Packard,1939
Josiah Harmar Penniman,1939
William Irwin Schaffer,1939
Joseph Henry Willits,1939
John Alexander,1940
William Nickerson Bates,1940
William Henry Beveridge,1940
Henry Wolf BiklÉ,1940
Herbert Eugene Bolton,1940
Cornelius Brett Boocock,1940
John Stewart Bryan,1940
Willa Cather,1940
Charles Cestre,1940
William Mansfield Clark,1940
James Bryant Conant,1940
William Henry Donner,1940
Lyman Poore Duff,1940
William James Entwhistle,1940
Etienne Gilson,1940
Evarts Ambrose Graham,1940
Frank Pierrepont Graves,1940
Samuel McClintock Hamill,1940
Lawrence Joseph Henderson,1940
Herbert Clark Hoover,1940
Arthur Charles Howland,1940
Arthur Horace James,1940
John Story Jenks,1940
Herbert Spencer Jennings,1940
Frank Baldwin Jewett,1940
Elizabeth Forrest Johnson,1940
Carl Kelsey,1940
Conrad Newton Lauer,1940
James Pendleton Lichtenberger,1940
William Ezra Lingelbach,1940
Horace Mather Lippincott,1940
