Name,Gender Guesser,Genderizer,Final
Daniel Kirkwood,male,male,male
William Mercer Green,male,male,male
John Mcclintock Jr.,male,male,male
William Bacon Stevens,male,male,male
James Patriot Wilson,male,male,male
John Penington,male,male,male
Martin Hans BoyÉ,male,male,male
John Chapman Cresson,male,male,male
Henry Jackson Morton,male,male,male
Joseph Saxton,male,male,male
John David Ogilby,male,male,male
Jehu Curtis Clay,unknown,male,unknown
George Duffield,male,unknown,unknown
Thomas Hartwell Horne,male,male,male
George Boyd,male,unknown,unknown
Jacob Miller,male,male,male
George Washington Bethune,male,unknown,unknown
Christian Frederic CrusÊ,male,unknown,unknown
William Radcliffe Dewitt,male,male,male
Benjamin Dorr,male,male,male
John Banister Gibson,male,male,male
Henry Michael Mason,male,male,male
Alexander Dallas Bache,male,male,male
Henry William Ducachet,male,male,male
Charles Philip Krauth,male,male,male
Samuel Allen Mccoskry,male,male,male
William Edward Wyatt,male,male,male
Edward Henry Courtenay,male,male,male
Henry Darwin Rogers,male,male,male
Joseph B. Ard,male,male,male
Samuel Wylie Crawford,male,male,male
Charles Rudolph DemmÉ,male,male,male
John Peter Hecht,male,male,male
Samuel Lewis Southard,male,male,male
Joseph Spencer,male,male,male
James Horner,male,male,male
Richard Sharp Mason,male,male,male
William Cooper Mead,male,male,male
John Cooper,male,male,male
Eleazer Thompson Fitch,unknown,unknown,unknown
Joseph Roberts,male,male,male
Charles Sawkins Williams,male,male,male
John Spence,male,male,male
Richard Peters Jr.,male,male,male
Frederick William Geissenhainer,male,male,male
John Gummere,male,male,male
Patrick Torry,male,male,male
William Vincent Harold,male,male,male
John George Schmucker,male,male,male
Henry Augustus Muhlenberg,male,male,male
Joseph Spencer,male,male,male
Philip Frederic Mayer,male,male,male
Eugenius Nulty,male,male,male
John Churchill Rudd,male,male,male
Bird Wilson,unknown,female,unknown
James Kent,male,male,male
Ambrose Spencer,male,male,male
Daniel Stephens,male,male,male
Christian Frederick Lewis Endress,male,unknown,unknown
William Gaston,male,male,male
Samuel Farmar Jarvis,male,male,male
James Milnor,male,male,male
Robert Patterson,male,male,male
Charles Smith,male,male,male
John Daniel Kurtz,male,male,male
Frederic Beasley,male,male,male
Rufus King,male,male,male
John Marshall,male,male,male
Bushrod Washington,unknown,unknown,unknown
Nathaniel Bowen,male,male,male
John Sylvester John Gardner,male,male,male
Frederick David Schaeffer,male,male,male
Jeremiah Atwater,male,male,male
Benjamin Contee,male,male,male
John Mcdowell,male,male,male
Joseph Pilmore,male,male,male
James G. Thomson,male,male,male
William Tilghman,male,male,male
Henry Waddell,male,male,male
James Patriot Wilson,male,male,male
James Gray,male,male,male
Philip Milledoler,male,male,male
John Mitchell Mason,male,male,male
Samuel Miller,male,male,male
John Blair Linn,male,male,male
James Latta,male,male,male
John Stuart,male,male,male
Cunningham Semple Ramsay,male,male,male
George Ralph,male,unknown,unknown
Ashbel Green,unknown,unknown,unknown
Isaac Stockton Keith,male,male,male
Robert Annan,male,male,male
Joseph Grove John Bend,male,male,male
Samuel Blair,male,male,male
Lawrence Girelius,male,male,male
Francis Hopkinson,male,unknown,unknown
Joseph Hutchins,male,male,male
Vicesimus Knox,unknown,unknown,unknown
William Rogers,male,male,male
John Frederick Schmidt,male,male,male
Edward Shippen,male,male,male
James Wilson,male,male,male
Edward Bass,male,male,male
David Johnson,male,male,male
Samuel Kerr,male,male,male
Samuel Parker,male,male,male
Philip Reinhold Pauli,male,male,male
Robert Smith,male,male,male
Robert Blackwell,male,male,male
Nicholas Collin,male,male,male
Samuel Jones,male,male,male
Robert Patterson,male,male,male
Benjamin Smith Barton,male,male,male
Marie Joseph Paul Yves Roch Gilbert du Motier Marquis de Lafayette,female,unknown,unknown
Hugh Williamson,male,male,male
David Griffith,male,male,male
Samuel Provoost,male,male,male
Matthew Wilson,male,male,male
Justus Christian Henry Helmuth,male,male,male
James Madison,male,male,male
James Manning,male,male,male
Thomas Mckean,male,male,male
Robert Davidson,male,male,male
Henry Melchior Muhlenberg,male,male,male
Charles Thomson,male,male,male
John Christopher Kunze,male,male,male
Samuel Magaw,male,male,male
George Washington,male,unknown,unknown
Patrick Alison,male,male,male
François BarbÊ-Marbois,unknown,male,unknown
Marie Bernard Borgella,female,unknown,unknown
François Jean de Beauvoir Chevalier de Chastellux,unknown,male,unknown
Jean François Coste,male,unknown,unknown
Peter Stephen Duponceau,male,male,male
Andrew Gregg,male,male,male
Fiacre Robilliard,mostly_male,unknown,unknown
Elihu Spencer,male,male,male
Samuel Sterret,male,male,male
William White,male,male,male
William Barton,male,male,male
William Bradford Jr.,male,male,male
James Davidson,male,male,male
Justus Christian Henry Helmuth,male,male,male
John Christopher Kunze,male,male,male
William Marshall,male,male,male
Henry Ernst Muhlenberg,male,male,male
Thomas Paine,male,male,male
Caspar Dietrich Weiberg,male,male,male
John Parke,male,male,male
James Ross,male,male,male
William Rogers,male,male,male
John Parke,male,male,male
John Simonton,male,male,male
David Rittenhouse,male,male,male
Joseph Reed,male,male,male
James Wilson,male,male,male
Thomas Mckean,male,male,male
John Miller,male,male,male
John Rodgers,male,male,male
Morgan Edwards,mostly_male,unknown,unknown
Thomas Pollock,male,male,male
John Simonton,male,male,male
Isaac Smith,male,male,male
Isaac Eaton,male,male,male
Samuel Stillman,male,male,male
Thomas Barton,male,male,male
Samuel Cooke,male,male,male
Samuel Davies,male,male,male
Robert Mckean,male,male,male
Philip Reading,male,male,male
Samson Smith,male,male,male
Matthew Wilson,male,male,male
Hector Alison,male,male,male
John Ewing,male,male,male
Theophilus Grew,male,male,male
Paul Jackson,male,male,male
Ebenezer Kinnersley,male,male,male
