Name,Gender Guesser,Genderizer,Final
Sybil Collins Mobley,female,female,female
Lyman Cunningham Ogilby,male,male,male
Francis Otto Schmitt,male,unknown,male
Elmer Boyd Staats,male,male,male
Charles Samuel Addams,male,male,male
The Lord Annan,mostly_female,unknown,male
Nnamdi Azikiwe,unknown,male,male
Reginald Harold Jones,male,male,male
Sol Myron Linowitz,female,unknown,male
Jerre Gerlando Mangione,unknown,unknown,male
James Albert Michener,male,male,male
Robert Venturi,male,male,male
Chien-Shiung Wu,unknown,unknown,female
Ruth Josephine Dean,female,female,female
William Theodore Golden,male,male,male
Joshua Lederberg,male,male,male
Charles Brelsford Mccoy,male,male,male
Wade Hampton Mccree,male,male,male
Robert King Merton,male,male,male
Garry Trudeau,male,male,male
Jacqueline Grennan Wexler,female,female,female
Art Buchwald,male,male,male
Lester William Burket,male,male,male
Julius Hiram Comroe Jr.,male,male,male
Clifton Orrin Dummett,male,male,male
Pierre Emmanuel,male,male,male
Robert Frank,male,male,male
Hans Frauenfelder,male,male,male
Henry Maurice Goldman,male,male,male
Louis Irwin Grossman,male,male,male
Patricia Roberts Harris,female,female,female
Theodore Martin Hesburgh,male,male,male
Wilton Marion Krogman,male,male,male
Gordon Norton Ray,male,male,male
Harold Glendon Scheie,male,male,male
John Haines III Ware,male,male,male
Robert Orville Anderson,male,male,male
Gwendolyn Brooks,female,female,female
Ernst Hans Josef Gombrich,male,male,male
Hubert Horatio Humphrey,male,male,male
Eleanor Biddle Lloyd,female,female,female
Saunders Maclane,unknown,unknown,male
Eugene Percival Pendergrass,male,male,male
Daniel Aaron,male,male,male
Kenneth Joseph Arrow,male,male,male
John Bardeen,male,male,male
Warren Earl Burger,male,male,male
William Thaddeus Coleman Jr.,male,male,male
Henry Steele Commager,male,male,male
Marcus Falkner Cunliffe,male,male,male
James Anderson Depriest,male,male,male
John Thomas Dunlop,male,male,male
Thomas Irwin Emerson,male,male,male
Benjamin Franklin,male,male,male
James William Fulbright,male,male,male
Valéry Giscard D'Estaing,unknown,unknown,male
Israel Goldstein,male,male,male
Henry Russell Hitchcock,male,male,male
Shirley Mount Hufstedler,female,unknown,female
Ivor Nöel Hume,male,male,male
Hugh Esmor Huxley,male,male,male
Ada Louise Huxtable,female,female,female
Philip Caryl Jessup,male,male,male
Howard Mumford Jones,male,male,male
Leonid Vital'evich Kantorovich,male,male,male
Carl Kaysen,male,male,male
Tjalling Charles Koopmans,male,male,male
Simon Smith Kuznets,male,male,male
Harold Dwight Lasswell,male,male,male
Wassily W. Leontief,male,male,male
Edward Hirsch Levi,male,male,male
Margaret Mead,female,female,female
Clarence Morris,male,male,male
